feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,label
0.0,0.0,0.0,-0.27607886512619667,-0.2569085979627992,-0.04672656567635856,-0.4245718326605014,-0.5670629057967896,-0.11032828520085251,-0.5065378823808363,-0.8130345344747018,-0.18480163014387643,-0.584271793039168,-1.0520929978063414,-0.24008143810837174,-0.16338190106008613,-1.0286994934565277,-0.07152392118440834,-0.3047171359293576,-1.3520566883454561,-0.18437383255261502,-0.4718334518848504,-1.423978455111706,-0.24199379914869107,-0.5991836840335686,-1.4181841149707988,-0.27322921167603864,-0.04712824726379871,-0.9935404426125771,-0.10322943961412717,-0.4426278036429552,-0.8836161785319571,-0.19069863467888995,-0.4486371943572556,-0.611895562371914,-0.18958943365042044,-0.33752515457878446,-0.5399748107318273,-0.18341369889691506,0.010616033243984574,-0.8464895008367508,-0.14897202990400377,-0.4092662288879425,-0.6506493311338564,-0.21569469137260436,-0.35878478564642236,-0.43725388190696735,-0.15743480486042224,-0.24132969099239143,-0.426322847205805,-0.12222033203227936,0.022808635506417194,-0.6775244058777525,-0.20674412877299667,-0.3053148109797391,-0.5367095402971853,-0.26448799932598316,-0.280903994040904,-0.3866712383956152,-0.23295466679132334,-0.18542278884043195,-0.3673494831739815,-0.19945847068971315,Z
0.0,0.0,0.0,-0.28087930452464405,-0.26271978423140735,-0.027657476098449894,-0.4311840736467486,-0.5653128182896309,-0.09120819600465314,-0.510252692890381,-0.8081079024321633,-0.1717207987485056,-0.5872376019292107,-1.0485996608514074,-0.2344209528349529,-0.17543312629604274,-1.0246411595406448,-0.061973996571513326,-0.3131228834445465,-1.3481185362979304,-0.1755724597418269,-0.48055292365518537,-1.4129440228132721,-0.22899792866524854,-0.6061391367849045,-1.4004385510547739,-0.25647945121372895,-0.058173421896597764,-0.9925732424590575,-0.1068373124856349,-0.4469156690885621,-0.8783129371944323,-0.19411716715572097,-0.4520530516680469,-0.5943334076147171,-0.18657922566829302,-0.33598002019201645,-0.5190477096306788,-0.17608731021898663,0.002900178479409162,-0.8499936957224978,-0.16484292687546084,-0.4143335321695742,-0.6580112062099257,-0.22817138926479436,-0.3650559529335257,-0.43734844351855967,-0.1612997633860477,-0.24705698585420816,-0.4177533578103704,-0.12239695348650402,0.018925155181211423,-0.6835740550674949,-0.23405464668647297,-0.3113102336743243,-0.5443005130503861,-0.28809841011782034,-0.28781649475562293,-0.3895092580212314,-0.25149879216949483,-0.1936860577147891,-0.3625339289859468,-0.21580509779007015,Z
0.0,0.0,0.0,-0.2853639097792889,-0.260228354924069,-0.022946244538274367,-0.43287248727234257,-0.5664835548675412,-0.08247831590152147,-0.5169666763622938,-0.8097927516048324,-0.15964933866941824,-0.6005574351690216,-1.0482552890915462,-0.22009045623968856,-0.18082929317892485,-1.0252494850788667,-0.059565824192681326,-0.3217202156036334,-1.3476106448369731,-0.17216862436348226,-0.49183325468624006,-1.4036548992208533,-0.22693344740370613,-0.6152757619360424,-1.3881064610182996,-0.2559181716943942,-0.06686404385472941,-0.9920440372529404,-0.10666690110001012,-0.45908682130589806,-0.8710817317086972,-0.19645945931512937,-0.4639958760470869,-0.5895576967985093,-0.19514081175805154,-0.34900441517400865,-0.512021205205339,-0.19002664803078403,-0.010318797106672982,-0.8470093381129175,-0.16582194018797225,-0.4260914154428725,-0.650284127082259,-0.23043494672756873,-0.37626865428218587,-0.42995673609202756,-0.16990815915828442,-0.25823169922450545,-0.4084545948366087,-0.135979449317561,0.0010675038027428444,-0.6794807979601031,-0.23553613996365602,-0.32342546379209997,-0.5361733644649406,-0.2900705415614452,-0.29912337251110266,-0.3823370157152344,-0.25750022878601264,-0.20506982700398327,-0.35441476701925456,-0.22561396181195587,Z
0.0,0.0,0.0,-0.2806507383011221,-0.2615476268430529,-0.03101140144095824,-0.4279682549332801,-0.5669804090736937,-0.09090136238197526,-0.5086898423958466,-0.81064046610019,-0.16559150495971087,-0.5875490023000398,-1.0493489941968266,-0.2220971499177622,-0.17588007653642737,-1.025634876263483,-0.06328838719932457,-0.31188013953355226,-1.353762039009729,-0.1732720171345443,-0.47976891806333055,-1.415846083779944,-0.22625642659406914,-0.6032071641341487,-1.4003989757197475,-0.25418870352919076,-0.06067856998173193,-0.9926823521131917,-0.10440238957032227,-0.4470083857492787,-0.8793381645175731,-0.1898636229945474,-0.4505751030310922,-0.599098249097173,-0.18709558183928215,-0.3365667212792062,-0.5199504914566151,-0.1812095414150187,-0.0016095900170824634,-0.847922566277956,-0.15798043542381907,-0.4164543870924675,-0.6549480490276576,-0.22053287012652772,-0.3654572990069473,-0.43621963401753544,-0.16060930537213594,-0.24761106297179128,-0.4166927375611269,-0.12694721012294743,0.012345273314344938,-0.6812266838077351,-0.22255494141290966,-0.3140679924918736,-0.5430691144570637,-0.27682599354146614,-0.2900780101965307,-0.3889295590750998,-0.24378921562666162,-0.19656349887531374,-0.3614907385205113,-0.2110670740550826,Z
0.0,0.0,0.0,-0.28656315724065784,-0.2717431924972895,-0.019519809625895536,-0.43699615992129226,-0.576826223998967,-0.08020296984814425,-0.520282653731744,-0.8186760103663319,-0.1595267010614868,-0.6024930474184526,-1.0542647264478924,-0.2224828435878141,-0.18461912905327207,-1.0248339038149166,-0.058861717380851344,-0.3172405813420465,-1.3535940201791106,-0.1713082643400835,-0.48457953563546763,-1.4124055313752992,-0.22701373858479726,-0.6088690999277977,-1.3962787436031676,-0.2571865226965239,-0.06982105910020486,-0.9916195137536262,-0.10870032037279127,-0.45553651254666283,-0.8748816117759711,-0.19679891694180585,-0.4599052302748559,-0.5970861524634624,-0.1951960867409296,-0.34593054226028286,-0.5189214492687599,-0.1911500170199541,-0.011092295665152484,-0.845966237158287,-0.17026358333646024,-0.42494456665499075,-0.6540983738911456,-0.23254613936723054,-0.3753761548230677,-0.4366644104188076,-0.1713968901502466,-0.25760766019800474,-0.4142569841460472,-0.13850488263589533,0.0044827898022070205,-0.6775168245964895,-0.24220474095188646,-0.32374670938791683,-0.540860300226854,-0.2951248353002531,-0.3002433113934136,-0.3874964643786356,-0.2609654066470655,-0.20552192646679818,-0.3565478915640822,-0.22886740978752365,Z
0.0,0.0,0.0,-0.29511878316843854,-0.24259945111880077,-0.010868167026471823,-0.4471803987832488,-0.5596163451965097,-0.061719677656912525,-0.5388873302092091,-0.8071677476006177,-0.13360441734805978,-0.6389759144499849,-1.0342211782520545,-0.19138477851670768,-0.21337805723056455,-1.0128015287966095,-0.038112642167778876,-0.3200404959899546,-1.3302561807950775,-0.1496089958653888,-0.48171430552173516,-1.403447605266616,-0.20199167477000873,-0.605513477535002,-1.4035333010191835,-0.23017413436955392,-0.09383770679871727,-0.9911521617005242,-0.09387159921475714,-0.48157215506046985,-0.8453811913474353,-0.19162512040328752,-0.48206847304508516,-0.555933689143499,-0.1840107525796133,-0.36053536496754596,-0.4913808487922446,-0.1682273533181148,-0.025488521215886698,-0.84848760389592,-0.16253163658795206,-0.42896642547321173,-0.6267983842602952,-0.23527205694585882,-0.37336656894592857,-0.40771886930795476,-0.15995547138198613,-0.2523551990671421,-0.39789481428113377,-0.11090520905391998,-0.0006341017833294296,-0.6762329031458533,-0.24185224702397817,-0.32348259572206367,-0.5023488134552488,-0.3084716104275933,-0.2927672574084944,-0.3437505379296267,-0.2719296627244857,-0.19030398850102961,-0.3237903674558071,-0.23172172636337332,Z
0.0,0.0,0.0,-0.29453146727787843,-0.19347606724858632,-0.03432814955068968,-0.4775245955814098,-0.5047110491382821,-0.09452976664020157,-0.5780687108034921,-0.7542188773709904,-0.1685396112446246,-0.6723121462646346,-0.9820275930765605,-0.22258362619356684,-0.25014638673739636,-1.0023864150184727,-0.07289468579665173,-0.3878162647833613,-1.3196294566657727,-0.20642214086253932,-0.5579240893994275,-1.3789281338356656,-0.26087350955748934,-0.6865644419020516,-1.383661350832624,-0.28471037377566205,-0.11554244867456624,-0.9865545272905113,-0.11558593009912994,-0.4965090974385716,-0.8077447531797431,-0.2295454174257731,-0.4760176109873752,-0.5007205006990121,-0.2059684282407872,-0.3410486981190031,-0.4596758703865901,-0.1713796951651676,-0.03238159574044346,-0.8458109599694407,-0.17524563372607432,-0.4351257764970749,-0.5870508140492285,-0.2628575599384818,-0.37040352149333855,-0.36248761974507515,-0.17074430586820122,-0.24546505630406903,-0.3765434876773169,-0.10336833952160761,0.008348177469943896,-0.6770141976308407,-0.24745308356686055,-0.3235920702516235,-0.46553467204232024,-0.3272451423952254,-0.285895555227798,-0.3005320304378152,-0.28612963133070013,-0.17813465916352164,-0.3015896403289727,-0.23601780296587224,Z
0.0,0.0,0.0,-0.28499934085064066,-0.18212108842918684,-0.03341694431849708,-0.45640256267346296,-0.5041206986243317,-0.08927050890249032,-0.5485383935444558,-0.7650468487221006,-0.15724709218761687,-0.6427305177376686,-0.9888191694518371,-0.2063105733684824,-0.21067372402113238,-1.011104888546589,-0.07220027024138764,-0.33662922599274314,-1.3303250256667054,-0.21263127252308128,-0.5061687458832358,-1.3997939860718982,-0.2737840551684105,-0.633242047548786,-1.4074329558819398,-0.3037319017676828,-0.062382568460245494,-0.9915020719631432,-0.11415803276640904,-0.45625285081281564,-0.8173499791224873,-0.23762513624517856,-0.44765578006838685,-0.4989711237064488,-0.21555807526268797,-0.3129416761342804,-0.45639706529791896,-0.1812608425674196,0.02397350500967461,-0.8389779372334037,-0.1738272569982737,-0.38405929946510825,-0.5889001247882428,-0.2715892508882141,-0.33326611488079716,-0.35901343973265765,-0.1784526915166368,-0.21411233242388217,-0.3697320393224281,-0.1089177855106478,0.06145772664789921,-0.6525012781607338,-0.2453128265459785,-0.272271175630774,-0.4478671541580523,-0.33499506418304287,-0.2433659750206089,-0.2871411183625692,-0.2989060764578765,-0.140163102573284,-0.2934883881656306,-0.2518719972705283,Z
0.0,0.0,0.0,-0.29572765741053453,-0.2282316160967196,-0.02145663343805794,-0.46075627290372506,-0.5397223435790365,-0.07833187877985263,-0.5436522691874297,-0.7926818670575535,-0.1552454848870905,-0.6226832135838329,-1.0278332874920042,-0.215399920482424,-0.2300754516655076,-1.005935385107703,-0.04410862479040518,-0.33372375151351885,-1.3351639209582182,-0.1648295440866309,-0.4903987645647357,-1.4123321897462835,-0.21993861486877606,-0.6103214815957113,-1.413930393856033,-0.24855494645109016,-0.09617271434355561,-0.9909284937931416,-0.0938697459496321,-0.46909832249125777,-0.8495027153954147,-0.19326382934338773,-0.47085026843318406,-0.5498149172187181,-0.17951957615111944,-0.3463163628542389,-0.500237530879159,-0.15886327236381215,-0.011099271602050573,-0.8543028375475505,-0.15926996616567798,-0.4032751345005037,-0.6339913252469329,-0.23272802464149342,-0.3524047171446604,-0.4115683066269397,-0.1515130020045,-0.23289008247978626,-0.41662348025788903,-0.09896162211045943,0.03288599997938463,-0.688198206965345,-0.23660687330304064,-0.28684351234538435,-0.512370160876904,-0.30243323832876606,-0.2602598610679135,-0.35744727150383565,-0.2644457866495847,-0.15916260921670328,-0.3539591981437562,-0.22408155733943963,Z
0.0,0.0,0.0,-0.29026713554303946,-0.2470988487380283,-0.02146332557809423,-0.45000587815034776,-0.5582921867200482,-0.08168588797946401,-0.5268495436691325,-0.8148718249808813,-0.16247222911834971,-0.6132375990808182,-1.0484224680378886,-0.2274668427240261,-0.2138327591931483,-1.0130205913776127,-0.056273808358889274,-0.31127542580322876,-1.3621956457888262,-0.17386127299997226,-0.46606404280421426,-1.441004642354613,-0.22724034933371876,-0.5889936510490793,-1.43407830552671,-0.25621131305039674,-0.0788216458744429,-0.9909898300771725,-0.10828806409415904,-0.44319241207660676,-0.8720341392545131,-0.20901888752954703,-0.44212774718860076,-0.5770971973997745,-0.19873166035156378,-0.3170675707738693,-0.5182757891880038,-0.18376305009075994,0.006555880152016732,-0.8514638865919812,-0.17456397305566512,-0.37779504404103653,-0.6502857434571689,-0.24425833556730697,-0.33010998102205397,-0.43037618562026586,-0.1641957748223596,-0.2138072836624283,-0.42327611982592506,-0.1166488590606754,0.04434104578516927,-0.6837772206835577,-0.2532172747655196,-0.264846094152652,-0.526828490973607,-0.31421447463701985,-0.23877312685460383,-0.3844551261902343,-0.2779322989738184,-0.1367967003434053,-0.379435385157951,-0.24267078098843817,Z
